,ISBN,Vote-Count,Vote-Average
0,3257224281,4,6.75
1,038550120X,81,7.580246913580247
2,0060517794,30,8.0
3,0671537458,17,7.176470588235294
4,0679776818,21,7.476190476190476
5,0684867621,60,7.116666666666666
6,0451166892,87,8.39080459770115
7,0380711524,16,7.625
8,0553572369,8,6.625
9,3499230933,6,7.166666666666667
10,0345443683,20,7.95
11,043935806X,206,9.033980582524272
12,055310666X,14,7.857142857142857
13,0330332775,72,7.458333333333333
14,3548603203,10,8.2
15,0440498058,81,8.876543209876543
16,0440414121,9,8.444444444444445
17,8426449476,5,7.6
18,8478884831,4,7.75
19,0060096195,53,8.132075471698114
20,0141310340,4,7.5
21,0375821813,10,8.3
22,038076041X,4,9.0
23,0552546933,17,8.647058823529411
24,0689804458,4,8.0
25,0786817070,74,7.648648648648648
26,2253150711,22,8.0
27,0440225825,31,7.935483870967742
28,0345446860,68,7.117647058823529
29,0380005239,21,8.0
30,3257200552,12,7.0
31,3404148576,10,6.7
32,3404921178,5,7.6
33,3423071516,13,9.0
34,3426029553,24,8.375
35,3442413508,6,6.666666666666667
36,3442435773,5,7.2
37,3442437717,7,8.285714285714286
38,3442441080,6,9.5
39,3442444020,4,7.0
40,3442446414,9,8.444444444444445
41,3442448530,6,6.0
42,3442449820,5,7.4
43,347354034X,6,8.666666666666666
44,3551551677,15,8.6
45,3551551685,11,9.181818181818182
46,3551551693,10,9.5
47,3551551936,10,9.6
48,359621078X,4,9.25
49,360893541X,7,8.571428571428571
50,3608935428,5,9.8
51,3608935436,4,9.75
52,0449217264,18,7.666666666666667
53,0836218833,19,9.0
54,0836220889,24,9.583333333333334
55,088365721X,7,7.285714285714286
56,0141011904,17,7.0588235294117645
57,3423201509,16,8.0625
58,3423206616,4,8.25
59,3404139178,8,8.375
60,345309221X,5,7.8
61,042518109X,21,7.666666666666667
62,0425188221,4,7.0
63,009975181X,15,7.8
64,8807810751,4,7.25
65,8817106100,18,8.555555555555555
66,8838910987,5,8.2
67,0064430227,6,9.0
68,0812533550,13,9.461538461538462
69,0440241537,92,7.619565217391305
70,0440228840,4,8.5
71,0060542845,9,7.111111111111111
72,8420636282,6,9.333333333333334
73,8432205311,4,9.0
74,002542730X,77,7.805194805194805
75,0099414732,6,7.0
76,0140154078,11,7.7272727272727275
77,0385504209,487,8.435318275154003
78,0553275283,4,8.75
79,063403541X,6,5.833333333333333
80,8420432113,5,7.2
81,950491036X,9,9.555555555555555
82,0749336145,6,7.5
83,059030271X,30,8.233333333333333
84,0671021354,5,6.2
85,0671026283,4,6.75
86,2020564777,6,7.666666666666667
87,2070404587,5,8.2
88,2253171670,4,7.5
89,2264031158,5,6.4
90,2266102621,7,8.0
91,2266104535,19,6.7894736842105265
92,3596122279,16,6.0
93,2070419657,7,7.285714285714286
94,2253063339,21,8.047619047619047
95,2253137243,9,7.333333333333333
96,2253144452,9,8.11111111111111
97,2253152072,4,8.5
98,226612269X,7,8.0
99,8423310353,14,7.928571428571429
100,0446310786,214,8.94392523364486
101,3423118709,5,8.8
102,0312966970,103,8.135922330097088
103,0312169817,4,7.5
104,0345348672,6,9.0
105,0345354621,30,7.333333333333333
106,0345435036,5,7.6
107,0425104273,8,7.625
108,0440218667,5,7.0
109,0440220602,146,7.431506849315069
110,0515131520,4,6.75
111,0812550307,18,7.833333333333333
112,0843949163,6,8.0
113,0886773741,10,7.5
114,0886774802,11,8.545454545454545
115,0886774829,11,8.181818181818182
116,0886775426,8,8.5
117,0886775957,9,8.11111111111111
118,0590448595,4,7.75
119,0060930187,42,8.023809523809524
120,0375760911,50,7.42
121,0689817851,51,8.137254901960784
122,0874869870,17,7.764705882352941
123,0061083259,6,8.166666666666666
124,0061094404,11,7.090909090909091
125,0671793489,57,8.140350877192983
126,8817134899,8,7.375
127,0099268345,7,7.285714285714286
128,3257062354,4,5.5
129,3423202327,35,7.742857142857143
130,3492045170,38,7.105263157894737
131,3548359698,22,6.5
132,3596214629,10,7.9
133,0618045996,13,8.153846153846153
134,0452282101,5,8.4
135,0553581112,7,7.714285714285714
136,0805047379,7,6.714285714285714
137,0892964456,4,9.25
138,0373250223,19,7.368421052631579
139,0425182150,11,7.909090909090909
140,1883473004,8,7.875
141,0061007129,8,8.125
142,0812511816,63,7.888888888888889
143,0880381736,24,8.0
144,0880381744,11,8.909090909090908
145,0312283709,31,7.516129032258065
146,0446605484,85,8.117647058823529
147,0446611212,92,7.695652173913044
148,0451207955,7,6.571428571428571
