ISBN,Book-Title,Vote-Count,Vote-Average,Score
0002005018,'Clara Callan',9,7.666666666666667,7.662541696281692
0374157065,'Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It',6,7.833333333333333,7.7613042051662
0399135782,'The Kitchen God's Wife',17,8.176470588235293,8.07681152626962
0440234743,'The Testament',169,7.704142011834319,7.702965560992266
0452264464,'Beloved (Plume Contemporary Fiction)',79,7.772151898734177,7.766422193393518
0609804618,'Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source',13,8.307692307692308,8.153708355980118
1841721522,'New Vegetarian: Bold and Beautiful Recipes for Every Occasion',8,9.25,8.717753504305165
0971880107,'Wild Animus',581,4.3907056798623065,4.4130137470968585
0345402871,'Airframe',79,7.455696202531645,7.465217374116409
0345417623,'Timeline',195,7.851282051282051,7.847301718852573
0375759778,'Prague : A Novel',14,6.571428571428571,6.8118356695367765
0375406328,'Lying Awake',8,7.0,7.217753504305166
0446310786,'To Kill a Mockingbird',214,8.94392523364486,8.920243312163587
0449005615,'Seabiscuit: An American Legend',120,8.483333333333333,8.456556790739208
0060168013,'Pigs in Heaven',24,8.5,8.379037216130785
0061099686,'Downtown',8,6.875,7.134420170971833
0553582909,'Icebound',12,7.25,7.3508151282288745
0671888587,'I'll Be Seeing You',36,7.555555555555555,7.5653260512915494
0553582747,'From the Corner of His Eye',72,8.0,7.9817505533113415
0425182908,'Isle of Dogs',71,5.338028169014085,5.461507227355494
042518630X,'Purity in Death',33,7.454545454545454,7.476028163558432
0440223571,'This Year It Will Be Different: And Other Stories',20,7.15,7.233876752152584
0842342702,'Left Behind: A Novel of the Earth's Last Days (Left Behind #1)',48,7.75,7.7425585009935
0440225701,'The Street Lawyer',133,7.62406015037594,7.6249127157055625
0060914068,"'Love, Medicine and Miracles'",4,8.25,7.951630256457749
0380715899,'A Soldier of the Great War',7,8.285714285714286,8.055731095605637
0671623249,'LONESOME DOVE',24,8.458333333333334,8.3433229304165
0679810307,'Shabanu: Daughter of the Wind (Border Trilogy)',6,7.5,7.5613042051662
0679865691,'Haveli (Laurel Leaf Books)',4,7.0,7.326630256457749
042511774X,'Breathing Lessons',43,7.395348837209302,7.4172987670566375
0804106304,'The Joy Luck Club',194,8.195876288659793,8.184914353796271
1853260053,'Tess of the D'Urbervilles (Wordsworth Classics)',9,8.666666666666666,8.354849388589383
0060938412,'The Accidental Virgin',9,6.333333333333333,6.7394647732047686
0140067477,'The Tao of Pooh',101,8.03960396039604,8.024886114777733
0345465083,'Seabiscuit',62,8.241935483870968,8.20625821290397
1558531025,'Life's Little Instruction Book (Life's Little Instruction Books (Paperback))',42,7.738095238095238,7.730718305470913
0441783589,'Starship Troopers',32,7.78125,7.767028945879499
0394895894,"'The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)'",13,8.0,7.9184142383330585
0375410538,'Anil's Ghost',11,7.2727272727272725,7.374202803444133
087113375X,'Modern Manners: An Etiquette Book for Rude People',7,7.142857142857143,7.3284583683329085
0340767936,'Turning Thirty',6,6.833333333333333,7.1613042051662
0316769487,'The Catcher in the Rye',243,7.68724279835391,7.686692477941952
8445071408,'El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish))',13,8.076923076923077,7.977237767744823
8445071769,'El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback))',7,8.571428571428571,8.237549277423817
8445071777,"'El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)'",7,9.285714285714286,8.692094731969272
0679429220,'Midnight in the Garden of Good and Evil: A Savannah Story',107,7.794392523364486,7.789306685150109
0671867156,'Pretend You Don't See Her',55,8.127272727272727,8.095136305960372
0312252617,'Fast Women',9,7.555555555555555,7.585618619358615
0312261594,'Female Intelligence',14,6.571428571428571,6.8118356695367765
0316748641,'Pasquale's Nose: Idle Days in an Italian Town',6,7.0,7.2613042051662
0446677450,"'Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!'",42,8.166666666666666,8.122022653296998
0451166892,'The Pillars of the Earth',87,8.39080459770115,8.358385077490793
0553347594,'McDonald's: Behind the Arches',4,7.75,7.701630256457749
067976397X,'Corelli's Mandolin : A Novel',34,8.029411764705882,7.989816896096368
0786868716,'The Five People You Meet in Heaven',242,8.016528925619834,8.010622122161227
0671864769,'Relics (Star Trek: The Next Generation)',6,6.666666666666667,7.0613042051662
0312953453,'Blood Oath',4,7.0,7.326630256457749
0446608653,'The Alibi',20,7.9,7.858876752152584
0446612545,'The Beach House',104,7.836538461538462,7.82975038936724
0446612618,'A Kiss Remembered',10,6.8,7.043788717975856
0451208080,'The Short Forever',16,7.25,7.330652102583101
0553584383,'Dead Aim',24,7.125,7.200465787559357
0671027360,'Angels & Demons',269,8.100371747211897,8.093820666855907
0812575954,'The Deal',4,6.25,6.951630256457749
0316735736,'All He Ever Wanted: A Novel',16,7.9375,7.880652102583101
0743439740,"'Every Breath You Take : A True Story of Obsession, Revenge, and Murder'",32,8.5,8.405917834768388
0380619458,'The Mosquito Coast',15,7.8,7.769107476403263
0671042858,'The Girl Who Loved Tom Gordon',95,7.063157894736842,7.087000424764263
