Book-Title,Title,ISBN,Vote-Count,Vote-Average,Score
0439425220,,0439425220,23,9.869565217391305,9.541223779691187
0618002235,,0618002235,25,9.72,9.434932484540068
0060256656,,0060256656,20,9.75,9.40054341881925
0836213319,,0836213319,13,9.923076923076923,9.389002473627176
,,8826703132,21,9.714285714285714,9.384521682066477
1888054557,,1888054557,11,10.0,9.374202803444133
0345339738,,0345339738,77,9.402597402597404,9.316210395699533
0394800389,,0394800389,14,9.785714285714286,9.311835669536778
0836220889,,0836220889,24,9.583333333333334,9.307608644702213
0836218221,,0836218221,20,9.6,9.27554341881925
0743454529,,0743454529,22,9.545454545454543,9.254347771217766
0140143505,,0140143505,28,9.464285714285714,9.237907564114437
0618002243,,0618002243,16,9.625,9.2306521025831
0394800893,,0394800893,8,10.0,9.217753504305165
0439139597,,0439139597,137,9.262773722627736,9.21711377341604
0312992416,,0312992416,10,9.8,9.186645860833
0394823370,,0394823370,10,9.8,9.186645860833
0312099045,,0312099045,11,9.727272727272728,9.174202803444134
0060256672,,0060256672,25,9.4,9.159070415574552
089471838X,,089471838X,7,10.0,9.146640186514727
1571456988,,1571456988,7,10.0,9.146640186514727
,,0789254484,7,10.0,9.146640186514727
0553274325,,0553274325,23,9.391304347826088,9.133816372283778
0156012197,,0156012197,23,9.391304347826088,9.133816372283778
0811824829,,0811824829,16,9.5,9.1306521025831
039480001X,,039480001X,32,9.3125,9.12814005699061
0345418913,,0345418913,9,9.77777777777778,9.124080157820156
0066238501,,0066238501,18,9.444444444444445,9.118774638711908
3499224615,,3499224615,10,9.7,9.115217289404427
,,1566404398,11,9.636363636363637,9.107536136777465
043936213X,,043936213X,53,9.20754716981132,9.098474421958983
0836217691,,0836217691,20,9.35,9.067210085485916
0440174643,,0440174643,21,9.333333333333334,9.06452168206648
0395282659,,0395282659,6,10.0,9.0613042051662
,,0908802862,6,10.0,9.0613042051662
0395193958,,0395193958,6,10.0,9.0613042051662
0394831292,,0394831292,6,10.0,9.0613042051662
0679821481,,0679821481,6,10.0,9.0613042051662
0385480334,,0385480334,7,9.857142857142858,9.055731095605637
0920668372,,0920668372,25,9.28,9.055622139712481
0345339711,,0345339711,83,9.120481927710845,9.053023471858184
0694003611,,0694003611,8,9.75,9.0510868376385
0762409533,,0762409533,9,9.666666666666666,9.047157080897076
3551551936,,3551551936,10,9.6,9.043788717975856
067168390X,,067168390X,33,9.212121212121213,9.043595731126
0439136369,,0439136369,133,9.082706766917294,9.040971109866147
0394800184,,0394800184,12,9.5,9.038315128228875
0812533550,,0812533550,13,9.461538461538462,9.036061297156587
0517693119,,0517693119,16,9.375,9.0306521025831
0671741039,,0671741039,16,9.375,9.0306521025831
0836218981,,0836218981,17,9.352941176470589,9.029192478650572
0064409422,,0064409422,17,9.352941176470589,9.029192478650572
0836221362,,0836221362,20,9.3,9.02554341881925
1880418568,,1880418568,22,9.272727272727272,9.023578540448536
0836204387,,0836204387,23,9.26086956521739,9.022705261172666
0836218620,,0836218620,25,9.24,9.021139381091793
043935806X,,043935806X,206,9.033980582524272,9.007681152626962
0439136350,,0439136350,141,9.0354609929078,8.997331324494219
0064400557,,0064400557,68,9.073529411764708,8.994625584050864
0394747232,,0394747232,16,9.3125,8.9806521025831
0836217241,,0836217241,16,9.3125,8.9806521025831
3522128001,,3522128001,12,9.416666666666666,8.975815128228875
0060263857,,0060263857,12,9.416666666666666,8.975815128228875
1577780728,,1577780728,12,9.416666666666666,8.975815128228875
0743444477,,0743444477,11,9.454545454545457,8.974202803444134
,,0006513220,11,9.454545454545457,8.974202803444134
0141301058,,0141301058,11,9.454545454545457,8.974202803444134
0394800796,,0394800796,10,9.5,8.972360146547285
3551551693,,3551551693,10,9.5,8.972360146547285
0553242954,,0553242954,10,9.5,8.972360146547285
0618002227,,0618002227,43,9.093023255813954,8.97049025641834
950491036X,,950491036X,9,9.555555555555555,8.970234003974
0380542625,,0380542625,9,9.555555555555555,8.970234003974
067162461X,,067162461X,9,9.555555555555555,8.970234003974
0312872402,,0312872402,9,9.555555555555555,8.970234003974
0553212419,,0553212419,9,9.555555555555555,8.970234003974
0064405036,,0064405036,8,9.625,8.967753504305165
0020868308,,0020868308,8,9.625,8.967753504305165
0684842319,,0684842319,7,9.714285714285714,8.964822004696545
3499224623,,3499224623,7,9.714285714285714,8.964822004696545
0152023984,,0152023984,7,9.714285714285714,8.964822004696545
3458171703,,3458171703,7,9.714285714285714,8.964822004696545
0553212427,,0553212427,7,9.714285714285714,8.964822004696545
0765343266,,0765343266,7,9.714285714285714,8.964822004696545
0440977096,,0440977096,7,9.714285714285714,8.964822004696545
006019250X,,006019250X,7,9.714285714285714,8.964822004696545
0395645662,,0395645662,7,9.714285714285714,8.964822004696545
0048230871,,0048230871,6,9.833333333333334,8.9613042051662
0590464639,,0590464639,6,9.833333333333334,8.9613042051662
0671743481,,0671743481,6,9.833333333333334,8.9613042051662
0140042393,,0140042393,31,9.129032258064516,8.960372630047486
0842377506,,0842377506,5,10.0,8.957004672406889
1563054671,,1563054671,5,10.0,8.957004672406889
0044409494,,0044409494,5,10.0,8.957004672406889
1565548353,,1565548353,5,10.0,8.957004672406889
1560255102,,1560255102,5,10.0,8.957004672406889
0679722017,,0679722017,5,10.0,8.957004672406889
0373790651,,0373790651,5,10.0,8.957004672406889
1558532854,,1558532854,5,10.0,8.957004672406889
0877017883,,0877017883,48,9.0625,8.954096962531962
006440188X,,006440188X,20,9.2,8.942210085485916
0590353403,,0590353403,119,8.983193277310924,8.939943431314326
0679879269,,0679879269,19,9.210526315789474,8.939697480507045
059035342X,,059035342X,313,8.939297124600639,8.923069533286
0446310786,,0446310786,214,8.94392523364486,8.920243312163587
0689714335,,0689714335,13,9.307692307692308,8.918414238333058
193156146X,,193156146X,25,9.12,8.917691105229723
0836218787,,0836218787,24,9.125,8.914751501845071
0618129081,,0618129081,12,9.333333333333334,8.913315128228875
0689711522,,0689711522,12,9.333333333333334,8.913315128228875
0439139600,,0439139600,110,8.954545454545455,8.908886333786509
0440418321,,0440418321,22,9.136363636363637,8.908193925063923
0836218663,,0836218663,11,9.363636363636363,8.907536136777466
0684823780,,0684823780,11,9.363636363636363,8.907536136777466
0441172717,,0441172717,75,8.973333333333333,8.906494203185595
0962959170,,0962959170,10,9.4,8.900931575118713
0451456734,,0451456734,10,9.4,8.900931575118713
0385199570,,0385199570,39,9.025641025641026,8.897977722131673
0440343194,,0440343194,29,9.06896551724138,8.897364910656425
1563891336,,1563891336,9,9.444444444444445,8.893310927050923
1551669501,,1551669501,8,9.5,8.884420170971833
0931432820,,0931432820,8,9.5,8.884420170971833
0385326335,,0385326335,8,9.5,8.884420170971833
0823401898,,0823401898,8,9.5,8.884420170971833
0671526022,,0671526022,8,9.5,8.884420170971833
0156528207,,0156528207,51,8.980392156862745,8.8838734918484
0439064864,,0439064864,126,8.920634920634921,8.881638785012784
0553213156,,0553213156,16,9.1875,8.8806521025831
0553573314,,0553573314,16,9.1875,8.8806521025831
0446310492,,0446310492,16,9.1875,8.8806521025831
0618002219,,0618002219,39,9.0,8.874721908178186
0062509594,,0062509594,7,9.571428571428571,8.873912913787454
0198117477,,0198117477,7,9.571428571428571,8.873912913787454
0394809378,,0394809378,7,9.571428571428571,8.873912913787454
0345318587,,0345318587,7,9.571428571428571,8.873912913787454
0451128389,,0451128389,7,9.571428571428571,8.873912913787454
,,0261103253,7,9.571428571428571,8.873912913787454
0380002558,,0380002558,7,9.571428571428571,8.873912913787454
8478885196,,8478885196,7,9.571428571428571,8.873912913787454
0618129022,,0618129022,38,9.0,8.871739096468142
0394800168,,0394800168,22,9.090909090909092,8.869732386602385
0307010368,,0307010368,6,9.666666666666666,8.8613042051662
0486268659,,0486268659,6,9.666666666666666,8.8613042051662
0849912970,,0849912970,6,9.666666666666666,8.8613042051662
031286860X,,031286860X,6,9.666666666666666,8.8613042051662
017443460X,,017443460X,6,9.666666666666666,8.8613042051662
1561840564,,1561840564,6,9.666666666666666,8.8613042051662
0877799156,,0877799156,6,9.666666666666666,8.8613042051662
0060194995,,0060194995,6,9.666666666666666,8.8613042051662
0064400980,,0064400980,6,9.666666666666666,8.8613042051662
0395071224,,0395071224,6,9.666666666666666,8.8613042051662
0689859368,,0689859368,6,9.666666666666666,8.8613042051662
,,0747549508,6,9.666666666666666,8.8613042051662
0807068195,,0807068195,6,9.666666666666666,8.8613042051662
0446365386,,0446365386,42,8.976190476190476,8.861153088079607
0345272579,,0345272579,13,9.23076923076923,8.859590708921292
0060935464,,0060935464,26,9.038461538461538,8.853768068388733
0553213148,,0553213148,46,8.956521739130435,8.85226084103324
0441068804,,0441068804,12,9.25,8.850815128228875
0967673747,,0967673747,12,9.25,8.850815128228875
0385729340,,0385729340,25,9.04,8.848725587988344
1566191432,,1566191432,5,9.8,8.845893561295778
1573247022,,1573247022,5,9.8,8.845893561295778
0684803763,,0684803763,5,9.8,8.845893561295778
1583940537,,1583940537,5,9.8,8.845893561295778
0898702682,,0898702682,5,9.8,8.845893561295778
,,1563137704,5,9.8,8.845893561295778
3548224911,,3548224911,5,9.8,8.845893561295778
1571458506,,1571458506,5,9.8,8.845893561295778
3608935428,,3608935428,5,9.8,8.845893561295778
1931543380,,1931543380,5,9.8,8.845893561295778
096268743X,,096268743X,5,9.8,8.845893561295778
0064401111,,0064401111,5,9.8,8.845893561295778
2290312924,,2290312924,5,9.8,8.845893561295778
096265342X,,096265342X,5,9.8,8.845893561295778
0064400972,,0064400972,5,9.8,8.845893561295778
0312110839,,0312110839,5,9.8,8.845893561295778
1576738167,,1576738167,11,9.272727272727272,8.8408694701108
0671496174,,0671496174,11,9.272727272727272,8.8408694701108
0397306938,,0397306938,11,9.272727272727272,8.8408694701108
0064404773,,0064404773,17,9.117647058823527,8.838716288174378
006092988X,,006092988X,35,8.971428571428572,8.836231847478512
0060256737,,0060256737,22,9.045454545454543,8.831270848140843
0517149257,,0517149257,22,9.045454545454543,8.831270848140843
1893956288,,1893956288,4,10.0,8.826630256457749
006440546X,,006440546X,4,10.0,8.826630256457749
0760707251,,0760707251,4,10.0,8.826630256457749
1573228567,,1573228567,4,10.0,8.826630256457749
,,880780459X,4,10.0,8.826630256457749
0688123228,,0688123228,4,10.0,8.826630256457749
0451133196,,0451133196,4,10.0,8.826630256457749
1567184464,,1567184464,4,10.0,8.826630256457749
0571105580,,0571105580,4,10.0,8.826630256457749
0486270661,,0486270661,4,10.0,8.826630256457749
0060281375,,0060281375,4,10.0,8.826630256457749
1576731863,,1576731863,4,10.0,8.826630256457749
0140501711,,0140501711,4,10.0,8.826630256457749
1582614687,,1582614687,4,10.0,8.826630256457749
0671600613,,0671600613,4,10.0,8.826630256457749
059044168X,,059044168X,4,10.0,8.826630256457749
0786867086,,0786867086,4,10.0,8.826630256457749
0152047379,,0152047379,4,10.0,8.826630256457749
0060280034,,0060280034,4,10.0,8.826630256457749
0394829204,,0394829204,4,10.0,8.826630256457749
0451458206,,0451458206,4,10.0,8.826630256457749
0345368983,,0345368983,4,10.0,8.826630256457749
0375727191,,0375727191,4,10.0,8.826630256457749
0140431683,,0140431683,4,10.0,8.826630256457749
0439042445,,0439042445,4,10.0,8.826630256457749
0877792208,,0877792208,4,10.0,8.826630256457749
0393048470,,0393048470,4,10.0,8.826630256457749
0689801505,,0689801505,4,10.0,8.826630256457749
039483609X,,039483609X,4,10.0,8.826630256457749
039548930X,,039548930X,4,10.0,8.826630256457749
1853260096,,1853260096,4,10.0,8.826630256457749
0671041657,,0671041657,4,10.0,8.826630256457749
,,0312915438,4,10.0,8.826630256457749
0822596709,,0822596709,4,10.0,8.826630256457749
0679745130,,0679745130,4,10.0,8.826630256457749
0140620222,,0140620222,27,9.0,8.826227162956839
0064405052,,0064405052,15,9.133333333333333,8.821739055350632
0930289595,,0930289595,15,9.133333333333333,8.821739055350632
0440498058,,0440498058,81,8.876543209876543,8.818976965313668
055321313X,,055321313X,53,8.90566037735849,8.817772667573017
0020418809,,0020418809,9,9.333333333333334,8.816387850127846
0486250334,,0486250334,9,9.333333333333334,8.816387850127846
0679879250,,0679879250,14,9.142857142857142,8.811835669536777
0679805273,,0679805273,14,9.142857142857142,8.811835669536777
0345339703,,0345339703,131,8.83969465648855,8.804541052234534
0740721984,,0740721984,8,9.375,8.8010868376385
,,0385259417,8,9.375,8.8010868376385
0060254920,,0060254920,8,9.375,8.8010868376385
0156004801,,0156004801,8,9.375,8.8010868376385
0373835280,,0373835280,8,9.375,8.8010868376385
0385314388,,0385314388,8,9.375,8.8010868376385
0374516812,,0374516812,8,9.375,8.8010868376385
0889740224,,0889740224,8,9.375,8.8010868376385
0066214769,,0066214769,8,9.375,8.8010868376385
0312957572,,0312957572,8,9.375,8.8010868376385
0671744577,,0671744577,8,9.375,8.8010868376385
0064440044,,0064440044,8,9.375,8.8010868376385
020530902X,,020530902X,13,9.153846153846152,8.800767179509526
0394800206,,0394800206,13,9.153846153846152,8.800767179509526
0064401871,,0064401871,13,9.153846153846152,8.800767179509526
0375422307,,0375422307,18,9.055555555555555,8.80059282053009
0395177111,,0395177111,18,9.055555555555555,8.80059282053009
0812550706,,0812550706,117,8.837606837606838,8.798454892988943
,,3150000017,22,9.0,8.792809309679306
0316779059,,0316779059,12,9.166666666666666,8.788315128228875
0671690094,,0671690094,12,9.166666666666666,8.788315128228875
0765342294,,0765342294,12,9.166666666666666,8.788315128228875
0345272587,,0345272587,12,9.166666666666666,8.788315128228875
0394404289,,0394404289,21,9.0,8.78452168206648
038001503X,,038001503X,21,9.0,8.78452168206648
0345296052,,0345296052,7,9.428571428571429,8.783003822878364
0451458222,,0451458222,7,9.428571428571429,8.783003822878364
0765345013,,0765345013,7,9.428571428571429,8.783003822878364
0380012774,,0380012774,7,9.428571428571429,8.783003822878364
0812504577,,0812504577,7,9.428571428571429,8.783003822878364
0553240749,,0553240749,7,9.428571428571429,8.783003822878364
0684835770,,0684835770,7,9.428571428571429,8.783003822878364
1563893339,,1563893339,7,9.428571428571429,8.783003822878364
0865714088,,0865714088,7,9.428571428571429,8.783003822878364
067154683X,,067154683X,7,9.428571428571429,8.783003822878364
1573222453,,1573222453,7,9.428571428571429,8.783003822878364
0316107549,,0316107549,7,9.428571428571429,8.783003822878364
0740704818,,0740704818,30,8.933333333333334,8.782736530931235
0553256696,,0553256696,16,9.0625,8.7806521025831
0345348036,,0345348036,74,8.837837837837839,8.777090282713615
0836211499,,0836211499,11,9.181818181818182,8.774202803444133
034541005X,,034541005X,11,9.181818181818182,8.774202803444133
0152567089,,0152567089,11,9.181818181818182,8.774202803444133
0091842050,,0091842050,11,9.181818181818182,8.774202803444133
3551551685,,3551551685,11,9.181818181818182,8.774202803444133
0020532105,,0020532105,11,9.181818181818182,8.774202803444133
